date,time_entry,time_exit,entry_time,hold_seconds,symbol,strategy,direction,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,notes
2026-08-12,14:31:06,14:33:37,2026-08-12T14:31:06.643725+00:00,151.1,AVAX/USD,supertrend,long,6.30275,6.3558,518.775534,27.52,0.842,sl,
2026-08-12,14:09:07,14:42:09,2026-08-12T14:09:07.592475+00:00,1981.7,PLTR,vwap_reversion,long,171.06,168.7001,19.148539,-45.19,-1.38,sl,
2026-08-12,14:43:20,14:45:45,2026-08-12T14:43:20.553462+00:00,144.7,BCH/USD,breakout_momentum,long,213.0455,212.651,15.336466,-6.05,-0.185,sl,
2026-08-12,13:52:09,16:48:17,2026-08-12T13:52:09.582189+00:00,10567.5,GLD,breakout_momentum,long,406.4,404.075,8.0585,-18.74,-0.572,sl,
2026-08-12,14:26:03,19:30:41,2026-08-12T14:26:03.703961+00:00,18277.7,AMD,breakout_momentum,long,488.94,483.005,6.688912,-39.7,-1.214,sl,
2026-08-12,20:55:12,21:27:08,2026-08-12T20:55:12.350248+00:00,1916.3,DOGE/USD,breakout_momentum,long,0.070525,0.06986,46281.169798,-30.78,-0.943,sl,
2026-08-12,13:52:08,21:36:33,2026-08-12T13:52:08.971959+00:00,27865.0,WMT,breakout_momentum,long,114.22,116.0782,28.672514,53.28,1.627,tp,
2026-08-12,23:08:01,23:10:07,2026-08-12T23:08:01.342538+00:00,126.5,BTC/USD,supertrend,long,63334.6,63307.4,0.051505,-1.4,-0.043,sl,
2026-08-13,22:20:11,00:21:57,2026-08-12T22:20:11.646702+00:00,7305.8,LINK/USD,breakout_momentum,long,8.6656,8.69772,376.59285,12.1,0.371,tp,
2026-08-13,01:41:01,01:43:07,2026-08-13T01:41:01.054586+00:00,126.2,BTC/USD,breakout_momentum,long,63449.12,63442.144,0.051402,-0.36,-0.011,sl,
2026-08-13,08:36:03,08:38:08,2026-08-13T08:36:03.451284+00:00,124.8,BCH/USD,supertrend,long,215.1505,215.808,15.155538,9.96,0.306,tp,
2026-08-13,08:39:10,08:41:15,2026-08-13T08:39:10.459435+00:00,124.7,BCH/USD,supertrend,long,215.45,215.808,15.129543,5.42,0.166,tp,
2026-08-13,09:31:05,09:33:10,2026-08-13T09:31:05.305961+00:00,125.1,AVAX/USD,supertrend,long,6.481,6.505,502.752044,12.07,0.37,tp,
2026-08-13,09:34:12,09:36:22,2026-08-13T09:34:12.459458+00:00,130.0,AVAX/USD,supertrend,long,6.487995,6.505,502.051789,8.54,0.262,tp,
2026-08-13,09:37:23,11:12:03,2026-08-13T09:37:23.771670+00:00,5679.3,SOL/USD,supertrend,long,75.915,75.43,42.889212,-20.8,-0.639,sl,
2026-08-13,14:15:08,13:37:55,2026-08-12T14:15:08.290955+00:00,84167.0,JPM,breakout_momentum,long,364.45,361.98,8.985647,-22.19,-0.678,sl,
2026-08-13,18:40:11,13:40:23,2026-08-12T18:40:11.461548+00:00,68411.9,IWM,supertrend,long,302.94,304.87,10.779899,20.81,0.637,tp,
2026-08-13,13:54:27,13:55:19,2026-08-12T13:54:27.957800+00:00,86451.7,NVDA,breakout_momentum,long,222.815,225.595,14.700689,40.87,1.248,time_limit,
